,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
127,"Fri, Nov 13, 2009",8:00p,Dallas Mavericks,89,Minnesota Timberwolves,77,Box Score,,"12,372",Target Center,
128,"Fri, Nov 13, 2009",8:00p,Portland Trail Blazers,86,New Orleans Hornets,78,Box Score,,"14,742",New Orleans Arena,
129,"Fri, Nov 13, 2009",10:00p,Houston Rockets,100,Sacramento Kings,109,Box Score,,"11,762",Power Balance Pavilion,
130,"Fri, Nov 13, 2009",10:30p,Los Angeles Lakers,79,Denver Nuggets,105,Box Score,,"19,141",Pepsi Center,
131,"Fri, Nov 13, 2009",10:30p,Toronto Raptors,104,Los Angeles Clippers,89,Box Score,,"15,615",STAPLES Center,
132,"Sat, Nov 14, 2009",7:00p,New Orleans Hornets,98,Atlanta Hawks,121,Box Score,,"18,572",Philips Arena,
133,"Sat, Nov 14, 2009",7:00p,Portland Trail Blazers,80,Charlotte Bobcats,74,Box Score,,"15,872",Time Warner Cable Arena,
134,"Sat, Nov 14, 2009",7:00p,Boston Celtics,104,Indiana Pacers,113,Box Score,,"18,165",Conseco Fieldhouse,
135,"Sat, Nov 14, 2009",7:00p,Detroit Pistons,106,Washington Wizards,103,Box Score,,"20,173",Verizon Center,
136,"Sat, Nov 14, 2009",7:30p,Utah Jazz,103,Cleveland Cavaliers,107,Box Score,,"20,562",Quicken Loans Arena,
137,"Sat, Nov 14, 2009",7:30p,New Jersey Nets,80,Miami Heat,81,Box Score,,"17,124",AmericanAirlines Arena,
138,"Sat, Nov 14, 2009",8:00p,Philadelphia 76ers,88,Chicago Bulls,94,Box Score,,"21,837",United Center,
139,"Sat, Nov 14, 2009",8:00p,Minnesota Timberwolves,87,Memphis Grizzlies,97,Box Score,,"10,019",FedEx Forum,
140,"Sat, Nov 14, 2009",8:30p,Golden State Warriors,125,Milwaukee Bucks,129,Box Score,,"14,978",Bradley Center,
141,"Sat, Nov 14, 2009",8:30p,Oklahoma City Thunder,101,San Antonio Spurs,98,Box Score,,"17,947",AT&T Center,
142,"Sun, Nov 15, 2009",6:00p,Dallas Mavericks,95,Detroit Pistons,90,Box Score,,"18,215",The Palace of Auburn Hills,
143,"Sun, Nov 15, 2009",7:00p,Los Angeles Clippers,101,Oklahoma City Thunder,93,Box Score,,"17,715",Oklahoma City Arena,
144,"Sun, Nov 15, 2009",8:00p,Toronto Raptors,100,Phoenix Suns,101,Box Score,,"16,605",US Airways Center,
145,"Sun, Nov 15, 2009",9:30p,Houston Rockets,101,Los Angeles Lakers,91,Box Score,,"18,997",STAPLES Center,
146,"Mon, Nov 16, 2009",7:00p,Portland Trail Blazers,95,Atlanta Hawks,99,Box Score,OT,"12,977",Philips Arena,
147,"Mon, Nov 16, 2009",7:00p,Charlotte Bobcats,91,Orlando Magic,97,Box Score,,"17,461",Amway Arena,
148,"Mon, Nov 16, 2009",8:00p,Dallas Mavericks,115,Milwaukee Bucks,113,Box Score,OT,"13,683",Bradley Center,
