,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
121,"Sun, Jan 8, 2012",7:00p,San Antonio Spurs,96,Oklahoma City Thunder,108,Box Score,,"18,203",Chesapeake Energy Arena,
122,"Sun, Jan 8, 2012",8:00p,Milwaukee Bucks,93,Phoenix Suns,109,Box Score,,"13,420",US Airways Center,
123,"Sun, Jan 8, 2012",9:00p,Cleveland Cavaliers,78,Portland Trail Blazers,98,Box Score,,"20,292",Rose Garden Arena,
124,"Sun, Jan 8, 2012",9:30p,Memphis Grizzlies,82,Los Angeles Lakers,90,Box Score,,"18,997",STAPLES Center,
125,"Mon, Jan 9, 2012",7:00p,Indiana Pacers,86,Philadelphia 76ers,96,Box Score,,"8,612",Wells Fargo Center,
126,"Mon, Jan 9, 2012",7:00p,Minnesota Timberwolves,87,Toronto Raptors,97,Box Score,,"14,097",Air Canada Centre,
127,"Mon, Jan 9, 2012",7:30p,Atlanta Hawks,106,New Jersey Nets,101,Box Score,,"12,259",Prudential Center,
128,"Mon, Jan 9, 2012",7:30p,Charlotte Bobcats,87,New York Knicks,91,Box Score,,"19,763",Madison Square Garden (IV),
129,"Mon, Jan 9, 2012",8:00p,Detroit Pistons,68,Chicago Bulls,92,Box Score,,"21,530",United Center,
130,"Mon, Jan 9, 2012",9:00p,New Orleans Hornets,94,Denver Nuggets,81,Box Score,,"14,002",Pepsi Center,
131,"Tue, Jan 10, 2012",7:00p,Houston Rockets,82,Charlotte Bobcats,70,Box Score,,"13,421",Time Warner Cable Arena,
132,"Tue, Jan 10, 2012",7:00p,Sacramento Kings,85,Philadelphia 76ers,112,Box Score,,"10,255",Wells Fargo Center,
133,"Tue, Jan 10, 2012",7:00p,Toronto Raptors,78,Washington Wizards,93,Box Score,,"14,077",Verizon Center,
134,"Tue, Jan 10, 2012",7:30p,Dallas Mavericks,100,Detroit Pistons,86,Box Score,,"10,073",The Palace of Auburn Hills,
135,"Tue, Jan 10, 2012",8:00p,Oklahoma City Thunder,100,Memphis Grizzlies,95,Box Score,,"13,601",FedEx Forum,
136,"Tue, Jan 10, 2012",8:00p,San Antonio Spurs,103,Milwaukee Bucks,106,Box Score,,"11,585",Bradley Center,
137,"Tue, Jan 10, 2012",8:00p,Chicago Bulls,111,Minnesota Timberwolves,100,Box Score,,"19,356",Target Center,
138,"Tue, Jan 10, 2012",9:00p,Cleveland Cavaliers,105,Utah Jazz,113,Box Score,,"17,859",EnergySolutions Arena,
139,"Tue, Jan 10, 2012",10:00p,Los Angeles Clippers,97,Portland Trail Blazers,105,Box Score,,"20,381",Rose Garden Arena,
140,"Tue, Jan 10, 2012",10:30p,Miami Heat,106,Golden State Warriors,111,Box Score,OT,"19,596",Oracle Arena,
141,"Tue, Jan 10, 2012",10:30p,Phoenix Suns,83,Los Angeles Lakers,99,Box Score,,"18,997",STAPLES Center,
142,"Wed, Jan 11, 2012",7:00p,Atlanta Hawks,84,Indiana Pacers,96,Box Score,,"10,334",Bankers Life Fieldhouse,
143,"Wed, Jan 11, 2012",7:00p,Sacramento Kings,98,Toronto Raptors,91,Box Score,,"14,323",Air Canada Centre,
144,"Wed, Jan 11, 2012",7:30p,Philadelphia 76ers,79,New York Knicks,85,Box Score,,"19,763",Madison Square Garden (IV),
145,"Wed, Jan 11, 2012",8:00p,Dallas Mavericks,90,Boston Celtics,85,Box Score,,"18,624",TD Garden,
146,"Wed, Jan 11, 2012",8:00p,Washington Wizards,64,Chicago Bulls,78,Box Score,,"21,366",United Center,
147,"Wed, Jan 11, 2012",8:00p,Oklahoma City Thunder,95,New Orleans Hornets,85,Box Score,,"13,565",New Orleans Arena,
148,"Wed, Jan 11, 2012",8:30p,Houston Rockets,95,San Antonio Spurs,101,Box Score,OT,"17,381",AT&T Center,
