Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2009/11/15,7:00p,Los Angeles Clippers,101.0,Oklahoma City Thunder,93.0,,"17,715",Oklahoma City Arena,Sunday
2009/11/15,8:00p,Toronto Raptors,100.0,Phoenix Suns,101.0,,"16,605",US Airways Center,Sunday
2009/11/15,9:30p,Houston Rockets,101.0,Los Angeles Lakers,91.0,,"18,997",STAPLES Center,Sunday
2009/11/16,7:00p,Portland Trail Blazers,95.0,Atlanta Hawks,99.0,OT,"12,977",Philips Arena,Monday
2009/11/16,7:00p,Charlotte Bobcats,91.0,Orlando Magic,97.0,,"17,461",Amway Arena,Monday
2009/11/16,8:00p,Dallas Mavericks,115.0,Milwaukee Bucks,113.0,OT,"13,683",Bradley Center,Monday
2009/11/17,7:00p,Golden State Warriors,108.0,Cleveland Cavaliers,114.0,,"20,562",Quicken Loans Arena,Tuesday
2009/11/17,7:30p,Oklahoma City Thunder,100.0,Miami Heat,87.0,,"14,443",AmericanAirlines Arena,Tuesday
2009/11/17,7:30p,Indiana Pacers,91.0,New Jersey Nets,83.0,,"11,332",Izod Center,Tuesday
2009/11/17,8:00p,Los Angeles Clippers,102.0,New Orleans Hornets,110.0,,"13,116",New Orleans Arena,Tuesday
2009/11/17,8:30p,Phoenix Suns,111.0,Houston Rockets,105.0,,"16,396",Toyota Center,Tuesday
2009/11/17,9:00p,Toronto Raptors,112.0,Denver Nuggets,130.0,,"16,446",Pepsi Center,Tuesday
2009/11/17,10:00p,Chicago Bulls,101.0,Sacramento Kings,87.0,,"12,634",Power Balance Pavilion,Tuesday
2009/11/17,10:30p,Detroit Pistons,93.0,Los Angeles Lakers,106.0,,"18,997",STAPLES Center,Tuesday
2009/11/18,7:00p,Miami Heat,90.0,Atlanta Hawks,105.0,,"18,729",Philips Arena,Wednesday
2009/11/18,7:00p,New York Knicks,110.0,Indiana Pacers,103.0,,"12,258",Conseco Fieldhouse,Wednesday
2009/11/18,7:00p,Oklahoma City Thunder,94.0,Orlando Magic,108.0,,"17,461",Amway Arena,Wednesday
2009/11/18,7:00p,Charlotte Bobcats,84.0,Philadelphia 76ers,86.0,,"11,585",Wachovia Center,Wednesday
2009/11/18,7:00p,Cleveland Cavaliers,91.0,Washington Wizards,108.0,,"20,173",Verizon Center,Wednesday
2009/11/18,7:30p,Golden State Warriors,95.0,Boston Celtics,109.0,,"18,624",TD Garden,Wednesday
2009/11/18,8:00p,Los Angeles Clippers,91.0,Memphis Grizzlies,106.0,,"10,012",FedEx Forum,Wednesday
2009/11/18,8:00p,New Jersey Nets,85.0,Milwaukee Bucks,99.0,,"13,479",Bradley Center,Wednesday
2009/11/18,8:00p,Houston Rockets,97.0,Minnesota Timberwolves,84.0,,"11,137",Target Center,Wednesday
2009/11/18,9:00p,Toronto Raptors,91.0,Utah Jazz,104.0,,"17,879",EnergySolutions Arena,Wednesday
2009/11/18,9:30p,San Antonio Spurs,94.0,Dallas Mavericks,99.0,OT,"20,110",American Airlines Center,Wednesday
2009/11/18,10:00p,Detroit Pistons,81.0,Portland Trail Blazers,87.0,,"20,391",Rose Garden Arena,Wednesday
2009/11/19,8:00p,Phoenix Suns,103.0,New Orleans Hornets,110.0,,"14,520",New Orleans Arena,Thursday
2009/11/19,8:30p,Utah Jazz,90.0,San Antonio Spurs,83.0,,"17,519",AT&T Center,Thursday
2009/11/19,10:30p,Chicago Bulls,93.0,Los Angeles Lakers,108.0,,"18,997",STAPLES Center,Thursday
2009/11/20,7:00p,Cleveland Cavaliers,105.0,Indiana Pacers,95.0,,"18,165",Conseco Fieldhouse,Friday
2009/11/20,7:00p,Memphis Grizzlies,102.0,Philadelphia 76ers,97.0,,"14,269",Wachovia Center,Friday
2009/11/20,7:00p,Miami Heat,113.0,Toronto Raptors,120.0,,"19,800",Air Canada Centre,Friday
2009/11/20,7:30p,Houston Rockets,103.0,Atlanta Hawks,105.0,,"16,674",Philips Arena,Friday
2009/11/20,8:00p,Orlando Magic,83.0,Boston Celtics,78.0,,"18,624",TD Garden,Friday
2009/11/20,8:00p,Washington Wizards,108.0,Oklahoma City Thunder,127.0,,"18,203",Oklahoma City Arena,Friday
2009/11/20,8:30p,Sacramento Kings,102.0,Dallas Mavericks,104.0,,"19,871",American Airlines Center,Friday
2009/11/20,8:30p,Charlotte Bobcats,88.0,Milwaukee Bucks,95.0,,"15,578",Bradley Center,Friday
2009/11/20,10:30p,Portland Trail Blazers,94.0,Golden State Warriors,108.0,,"18,630",Oracle Arena,Friday
